Project_ID,Project_Name,Category,Current_Value,Target_Value,Progress_Status,Budget (€),Expenditure (€),Risk_Level,End_Date,Compliance_Standard,ESG_Metric,Carbon_Footprint (tCO2e),Energy_Efficiency (%),Water_Usage (m³),Waste_Reduction (%),Community_Impact_Score,Diversity_Index (%),Renewable_Energy (%),ESG_Compliance_Score,CSRD_Compliance,Stakeholder_Impact,Environmental_Risks,Supply_Chain_Disruptions,Mitigation_Status,Alerts,Recommendations
1,Project 1,Infrastructure,50,89,In Progress,337584,120063,Medium,3/21/2025,DNK,Water Conservation,23.27,33,3933,25,8,70,37,77,Partially Aligned,7.3,Low,No,Completed,,Monitor progress and optimize resource allocation
2,Project 2,Waste Management,40,85,Behind Schedule,371944,213171,High,3/26/2024,GRI,Carbon Reduction,49.97,12,3240,17,2,64,24,67,Not Aligned,6.4,Low,Yes,Ongoing,,Increase resources and address high-risk areas
3,Project 3,Renewable Energy,36,93,Behind Schedule,388671,352527,High,3/29/2024,CSRD,Carbon Reduction,33.09,18,3847,16,4.9,60,23,70,Not Aligned,5.7,Medium,Yes,Ongoing,Moderate risk in Renewable Energy,Increase resources and address high-risk areas
4,Project 4,Infrastructure,33,96,Behind Schedule,486680,208729,High,3/27/2026,GRI,Carbon Reduction,31.12,18,4962,13,2.8,62,19,61,Not Aligned,8.3,Low,Yes,Ongoing,,Increase resources and address high-risk areas
5,Project 5,Infrastructure,42,98,Behind Schedule,199088,175817,High,10/10/2025,DNK,Energy Efficiency,30.74,17,4675,12,3.2,35,30,62,Not Aligned,9.7,Medium,Yes,Ongoing,Moderate risk in Infrastructure,Increase resources and address high-risk areas
6,Project 6,Social Impact,47,100,Behind Schedule,409046,180511,High,10/30/2024,DNK,Energy Efficiency,48.14,12,3267,17,4.4,51,24,66,Not Aligned,9.2,Low,Yes,Ongoing,,Increase resources and address high-risk areas
7,Project 7,Infrastructure,16,89,Behind Schedule,449759,362321,High,11/21/2026,DNK,Carbon Reduction,30.86,16,4509,10,1.7,97,14,61,Not Aligned,9.1,Medium,Yes,Ongoing,Moderate risk in Infrastructure,Increase resources and address high-risk areas
8,Project 8,Transport,58,81,In Progress,379431,316117,Medium,5/8/2025,DNK,Water Conservation,23.51,31,2931,37,6.7,71,46,78,Partially Aligned,6.4,Medium,No,Completed,Moderate risk in Transport,Monitor progress and optimize resource allocation
9,Project 9,Social Impact,44,96,Behind Schedule,462096,90679,High,7/23/2025,CSRD,Carbon Reduction,49.06,18,4619,14,2.2,81,10,65,Not Aligned,8.1,Low,Yes,Ongoing,,Increase resources and address high-risk areas
10,Project 10,Renewable Energy,38,84,Behind Schedule,137259,94949,High,9/6/2026,GRI,Carbon Reduction,33.66,10,4377,16,2,52,12,67,Not Aligned,6.7,Low,Yes,Ongoing,,Increase resources and address high-risk areas
11,Project 11,Social Impact,85,87,On Track,482777,342635,Low,3/25/2024,DNK,Energy Efficiency,10.67,47,1160,43,8.1,44,74,86,Aligned,8.3,Low,No,Not Started,,Maintain current pace
12,Project 12,Infrastructure,36,91,Behind Schedule,453734,112377,High,8/10/2026,CSRD,Carbon Reduction,45.28,15,3396,14,3.4,59,10,62,Not Aligned,9.5,Low,Yes,Ongoing,,Increase resources and address high-risk areas
13,Project 13,Renewable Energy,63,94,In Progress,132059,74989,Medium,7/17/2026,DNK,Water Conservation,25.38,38,3562,20,7,88,46,81,Partially Aligned,5.5,Low,No,Completed,,Monitor progress and optimize resource allocation
14,Project 14,Social Impact,66,80,In Progress,164774,73453,Medium,4/19/2025,CSRD,Water Conservation,26.09,31,2878,24,7.1,30,30,73,Partially Aligned,8.6,Low,No,Completed,,Monitor progress and optimize resource allocation
15,Project 15,Transport,74,80,On Track,374178,290560,Low,7/21/2025,DNK,Energy Efficiency,11.13,50,1499,33,8.1,76,77,100,Aligned,6.7,Low,No,Not Started,,Maintain current pace
16,Project 16,Transport,50,86,In Progress,253684,113299,Medium,6/19/2025,GRI,Carbon Reduction,20.34,27,2406,29,7.2,54,43,74,Partially Aligned,5.2,Low,No,Completed,,Monitor progress and optimize resource allocation
17,Project 17,Renewable Energy,52,87,In Progress,483207,388813,Medium,1/16/2026,CSRD,Carbon Reduction,20.84,28,3954,24,5.5,49,37,80,Partially Aligned,5.5,Medium,No,Completed,Moderate risk in Renewable Energy,Monitor progress and optimize resource allocation
18,Project 18,Waste Management,70,91,In Progress,63609,49148,Medium,8/24/2024,GRI,Carbon Reduction,26.45,37,2717,37,5.9,84,44,78,Partially Aligned,6,Low,No,Completed,,Monitor progress and optimize resource allocation
19,Project 19,Infrastructure,58,81,In Progress,234804,230532,Medium,11/19/2024,GRI,Energy Efficiency,24.78,32,2721,37,6.8,42,42,79,Partially Aligned,8.2,Medium,No,Completed,Moderate risk in Infrastructure,Monitor progress and optimize resource allocation
20,Project 20,Waste Management,49,84,In Progress,178234,37476,Medium,4/6/2025,GRI,Energy Efficiency,25.48,40,3016,27,7,35,34,78,Partially Aligned,6.8,Low,No,Completed,,Monitor progress and optimize resource allocation
21,Project 21,Transport,74,94,In Progress,313251,43708,Medium,4/28/2025,DNK,Energy Efficiency,27.57,33,3548,24,7.5,89,35,85,Partially Aligned,6.4,Low,No,Completed,,Monitor progress and optimize resource allocation
22,Project 22,Waste Management,67,85,In Progress,136268,61185,Medium,12/6/2026,CSRD,Water Conservation,24.92,24,2985,38,7.2,35,30,76,Partially Aligned,5.1,Low,No,Completed,,Monitor progress and optimize resource allocation
23,Project 23,Waste Management,63,85,In Progress,184091,159501,Medium,12/20/2024,GRI,Water Conservation,23.69,34,2572,27,6.6,91,32,82,Partially Aligned,5.2,Medium,No,Completed,Moderate risk in Waste Management,Monitor progress and optimize resource allocation
24,Project 24,Infrastructure,77,80,On Track,265718,91085,Low,12/15/2024,DNK,Energy Efficiency,19.06,46,2671,46,9.6,79,71,86,Aligned,9.4,Low,No,Not Started,,Maintain current pace
25,Project 25,Transport,77,85,On Track,85387,36565,Low,2/7/2026,GRI,Water Conservation,15.69,32,2772,42,9.7,89,59,99,Aligned,6.2,Low,No,Not Started,,Maintain current pace
26,Project 26,Infrastructure,60,88,In Progress,221078,79180,Medium,5/30/2025,DNK,Carbon Reduction,28.63,24,3526,38,5.4,59,32,76,Partially Aligned,7.8,Low,No,Completed,,Monitor progress and optimize resource allocation
27,Project 27,Renewable Energy,77,81,On Track,374644,152994,Low,12/22/2024,DNK,Carbon Reduction,14.82,30,2008,34,8.1,84,51,95,Aligned,6,Low,No,Not Started,,Maintain current pace
28,Project 28,Infrastructure,63,82,In Progress,218940,117617,Medium,12/2/2025,CSRD,Carbon Reduction,29.27,21,3125,30,6.7,56,36,76,Partially Aligned,8.5,Low,No,Completed,,Monitor progress and optimize resource allocation
